date,Bayview Hunters Point,Bernal Heights,Castro/Upper Market,Chinatown,Excelsior,Financial District/South Beach,Glen Park,Golden Gate Park,Haight Ashbury,Hayes Valley,Inner Richmond,Inner Sunset,Japantown,Lakeshore,Lincoln Park,Lone Mountain/USF,Marina,McLaren Park,Mission,Mission Bay,Nob Hill,Noe Valley,other,North Beach,Oceanview/Merced/Ingleside,Outer Mission,Outer Richmond,Pacific Heights,Portola,Potrero Hill,Presidio,Presidio Heights,Russian Hill,Seacliff,South of Market,Sunset/Parkside,Tenderloin,Treasure Island,Twin Peaks,Visitacion Valley,West of Twin Peaks,Western Addition,
2010,3.475447528,3.844720497,3.401321829,3.416316232,3.473346693,3.524166049,3.774914089,3.661111111,3.389614428,3.35389431,3.517337032,3.46482684,3.581447964,3.770262717,3.392670157,3.437667817,3.517265035,2.99713467,3.451646284,3.845930233,4.701691122,3.427622842,4.242268041,3.531824337,3.739593417,3.772321429,3.665373766,3.394840041,3.444,3.702421308,3.894321767,3.494553377,3.500543478,4.168115942,3.488154721,3.467867467,3.46706764,4.838310269,4.456163481,3.540012804,3.460992908,3.386442241
2011,3.60945294,4.131407942,3.54021076,3.472872996,3.401704545,3.711086688,11.20728745,3.701132075,3.407212205,3.97255291,3.427280939,3.354151177,3.529411765,3.811237199,3.465838509,3.615489594,3.538479157,3.797833935,3.55554572,3.71050698,3.475866917,3.543209877,4.819548872,3.938366156,3.767146486,3.690375388,3.506127451,3.475454723,3.609515997,3.874115983,4.316136114,3.565517241,3.688700999,4.224137931,3.842587856,3.669136325,3.541586743,4.804693414,3.647696477,3.377860235,3.557736721,4.204262685
2012,3.914394722,3.839125152,3.413947868,3.598503236,3.649679124,3.609548725,4.067717996,3.626719057,3.902235323,3.536885902,3.758853831,3.636536374,3.51547492,4.839447236,3.607142857,3.55395189,3.685720591,4.084388186,3.668040314,3.804283604,3.515192688,3.89934593,4.397196262,4.263043478,3.612164074,3.476231884,3.892813827,3.569095734,4.064240791,3.812514538,3.981541802,3.692765114,3.748946716,4.1232493,3.481068677,3.734790192,3.548696719,6.053609721,3.955039884,3.626782609,4.783984747,3.833969686
2013,4.689373725,3.956370848,3.448979592,3.642002393,3.775945294,3.753294709,3.677386935,3.874217772,3.453278885,3.7808753,3.819113657,3.731615039,3.769045323,4.056412986,4.078512397,3.550180981,3.72856852,3.694029851,3.691302292,3.90989011,3.620423656,3.915119363,6.306962025,3.796572408,3.796821793,3.71890971,3.821097431,3.81090437,3.775510204,3.980328628,5.359437751,3.584761905,3.619070551,4.890243902,3.712168487,3.753866108,3.564430523,7.953943886,4.36412677,3.956367925,3.825223436,3.7046043,
2014,5.168212389,4.648240072,5.181591004,4.251463058,4.686941314,4.512133093,5.053962901,4.684931507,4.047793221,4.683707948,4.684269349,4.198511166,4.611000399,4.96157429,5.70212766,4.382039574,4.318156055,4.931147541,4.649346324,19.43695526,4.421129449,4.419060967,1.398779247,4.531540186,5.474143115,4.750925697,4.922751467,4.48187258,4.776678141,4.623073719,5.756410256,4.692658459,4.446021405,5.775413712,4.515127126,5.505678481,4.447298641,5.699304441,5.326878389,5.646541262,4.482964225,4.314258715
2015,4.160635233,3.956369623,3.75010395,3.909319477,3.792882562,4.04070771,4.328197227,3.747984954,3.651741294,3.755988024,4.629178544,3.886662213,3.93047696,4.415662651,6.316981132,3.693582888,3.716952668,4.007092199,4.424751897,4.11840796,3.719329923,3.934441957,2.304940375,3.945008966,4.499721913,3.871959369,4.071136334,3.805657663,4.150863724,3.971621622,5.645949721,3.768439875,3.98955774,4.007712082,3.927713325,3.873230432,3.763168996,5.248578811,4.145305003,4.790035587,3.794044665,3.803559071
2016,4.070951809,7.243878741,3.935012729,3.892710219,3.911370056,3.834938102,3.699064075,3.641690141,3.521639139,3.877393541,4.099802372,3.647848218,3.694873881,4.076315195,5.139917695,4.099669604,3.611852643,4.513368984,3.845710798,3.735757831,3.612301669,3.577146546,2.050259965,3.78279043,3.967180507,3.830300049,4.183303549,3.543900804,3.822059954,3.785361029,4.942638623,3.314571039,3.591950464,4.801822323,3.784122655,3.736035358,3.685589954,5.378520286,4.850728863,4.251140164,3.63595913,3.68452381
2017,4.54987013,4.432830189,3.913354816,4.997254162,4.18589117,3.927294118,3.972275951,4.138310185,3.747839447,3.873036479,3.867002629,4.397471022,3.750481325,4.235281049,6.660056657,4.036492651,3.838616715,5.472677596,3.910231625,4.072286617,3.745501551,3.844998293,3.042895442,3.975267086,4.026315789,3.714120904,4.208730254,3.715492043,4.239194985,3.704073934,4.976372925,3.996111975,3.820849965,5.124521073,3.826369852,3.936327916,3.742384556,5.50361991,4.431767338,4.162146893,3.957270119,3.806995688
2018,4.170100059,4.288114754,3.665421026,4.622908843,3.803539243,4.106410533,4.088666667,4.242530756,3.26273278,3.651768108,3.789219425,4.234218157,3.859662013,4.18175721,5.611111111,3.942809083,3.749622166,3.568245125,3.578432483,3.735943357,3.56360608,3.993346008,3.40625,3.695301597,3.718202589,3.749295113,3.903025163,3.771777295,3.969835146,4.042458926,4.787261983,3.758921491,4.145285585,3.83047619,3.661501334,3.876358187,3.514648599,5.313501144,4.427835052,3.864887177,4.072592124,3.608770586
2019,3.978146695,3.85976186,3.945407503,3.762953602,4.041371353,3.62720768,3.783322805,3.662740236,3.578831041,3.43904321,3.708139819,3.599208965,3.69379562,4.355149371,5.055727554,4.567122523,3.48857868,3.497652582,3.514527974,3.672754947,3.453323014,3.964069952,3.723735409,3.638226349,3.602198377,4.453460621,3.884579625,3.474090909,3.943214286,3.895336226,4.45934466,3.588070456,3.731866696,4.29601518,3.462450825,3.828802153,3.34797895,4.755597904,4.022544283,3.958268934,3.652721482,3.510419668
